鐹,kuö́,kuö̀,,,,,,
𧒖,kuö,kuö̀,,,,,,
匃,kàj,kat,,,,,,
丐,kàj,kat,,,,,,
格,kräk,kak,,,,,,
攻,kong,kung,,,,,,
珙,kyong,kyóng,,,,,,
廾,kyong,kyóng,,,,,,
共,kyong,gyòng,,,,,,
供,kyong,kyòng,,,,,,
㔶,kö́m,kùng,,,,,,
彀,ku,kù,,,,,,
冓,ku,kù,,,,,,
盬,ko,kó,,,,,,
告,kàu,kok,,,,,,
郜,kàu,kok,,,,,,
騧,kwe,kwa,,,,,,
媧,kwe,kwa,,,,,,
𠁥,kwé,kwá,,,,,,
𧬮,kwà,tchrà,,,,,,訓“詫”
劀,kwät,kwat,,,,,,
桄,kuang,kuàng,,,,,,
光,kuang,kuàng,,,,,,
貫,kuan,kuàn,,,,,,
痯,kuán,kuàn,,,,,,
錧,kuán,kuàn,,,,,,
冠,kuan,kuàn,,,,,,
觀,kuan,kuàn,,,,,,
涫,kuan,kuàn,,,,,,
盥,kuán,kuàn,,,,,,
棺,kuan,kuàn,,,,,,
毌,kuan,kuàn,,,,,,
䘾,kuán,kuàn,,,,,,
倌,kuan,kwàn,,,,,,
串,tsjhvä̀n,kwàn,,,,,,
矔,kuàn,kwàn,,,,,,
鰥,kwän,kwä̀n,,,,,,
獪,kwàj,kuàj,,,,,,
鴰,kwat,kuat,,,,,,
劊,kuàj,kuat,,,,,,
𢼛,kräk,kwäk,,,,,,
蟈,kuëk,kwek,,,,,,
馘,kuëk,kwek,,,,,,
膕,kuëk,kwek,,,,,,
㰪,qre,kvei,,,,,,
詭,küḯ,küḯ,,,,,,
垝,küḯ,küï̀,,,,,,
攱,küḯ,küï̀,,,,,,
鞼,kuöi,güì,,,,,,
謉,tuö́i,küì,,,,,,
餽,güì,küì,,,,,,
瞡,kvï̀,kvì,,,,,,
䣀,küḯ,güí,,,,,,
幗,kwek,kuö̀i,,,,,,
慖,kwek,kuö̀i,,,,,,
䐴,kuàj,kuö̀i,,,,,,
侊,kuang,kwäng,,,,,,
獷,küáng,kwä́ng,,,,,,
惃,kuon,kúon,,,,,,
錕,kuon,kúon,,,,,,
琯,kuán,kùon,,,,,,
邗,kan,xan,,,,,,
蜬,köm,xöm,,,,,,
䶃,köm,xöm,,,,,,
𤯎,kam,xam,,,,,,
邯,xan,xam,,,,,,
迒,kang,xang,,,,,,
魧,kang,xang,,,,,,
肮,qang,xang,,,,,,
苀,kang,xang,,,,,,
唅,höm,xö̀m,,,,,,
䫲,hö́m,hö̀m,,,,,,
𧵊,ham,hàm,,,,,,
憨,ham,xàm,,,,,,
䗣,xam,xàm,,,,,,
頷,xöm,xö́m,,,,,,
頜,köp,xö́m,,,,,,
蜭,xö̀m,xö́m,,,,,,
涵,xöm,xö́m,,,,,,
肣,xöm,xö́m,,,,,,
𢎘,xöm,xö́m,,,,,,
莟,xö̀m,xö́m,,,,,,
顄,xöm,xö́m,,,,,,
笐,kang,xàng,,,,,,
翰,xan,xàn,,,,,,
鼾,han,xàn,,,,,,
䮧,xan,xàn,,,,,,
𧃙,xan,xàn,,,,,,
忓,kan,xàn,,,,,,
暵,hán,hàn,,,,,,
䍐,hán,hàn,,,,,,
罕,hán,hàn,,,,,,
厂,hán,hàn,,,,,,
沆,xang,xáng,,,,,,
䟘,káng,xáng,,,,,,
號,xau,xàu,,,,,,
好,háu,hàu,,,,,,
𡚽,háu,hàu,,,,,,
浩,köp,xáu,,,,,,
灝,xáu,kö́m,,,,,,“灨”之誤
夰,káu,xáu,,,,,,
頦,kö́i,xöi,,,,,,
㨟,köi,xöi,,,,,,
豥,köi,xöi,,,,,,
筕,xang,xräng,,,,,,
桁,xang,xräng,,,,,,
菏,kö,xö,,,,,,
㗻,kuö,xuö,,,,,,
㪋,xàn,hö́,,,,,,
𩑸,hö,hö́,,,,,,
荷,xö,xö́,,,,,,
何,xö,xö́,,,,,,
呵,hö,hö̀,,,,,,
和,xuö,xuö̀,,,,,,
盉,xuö,xuö̀,,,,,,
合,köp,xöp,,,,,,
郃,köp,xöp,,,,,,
嗑,kap,xap,,,,,,
𣣹,höp,hap,,,,,,
䫘,xat,hat,,,,,,
𦤦,hàj,hat,,,,,,
活,kuat,xuat,,,,,,
𣽅,kuat,xuat,,,,,,
䄆,kwat,xuat,,,,,,
鬠,kuàj,xuat,,,,,,
佸,kuat,xuat,,,,,,
淈,kuot,xot,,,,,,
蠚,tchyak,hak,,,,,,
鰝,xáu,hak,,,,,,
矐,hak,huak,,,,,,
彉,kuak,huak,,,,,,
彍,kuak,huak,,,,,,
𨹁,kùng,xung,,,,,,
鴻,xung,xúng,,,,,,
䃔,xong,xòng,,,,,,
轟,hweng,hwèng,,,,,,
輷,hweng,hwèng,,,,,,
鄇,xu,xù,,,,,,
睺,xu,xù,,,,,,
鍭,xu,xù,,,,,,
訽,xù,hù,,,,,,
吼,hú,hù,,,,,,
厚,xù,xú,,,,,,
後,xù,xú,,,,,,
